"","eidid","eid_name","data_quality","path_genus","path_species","path_common","path_subgroup","path_disease","event_location","map_type","no_map_objects","sourcenotes_original","sourcenotes_ceisin","transtype_zoo_t","transtype_zoo_pd","zoo_origin","zoo_origin_type","path_type","transmode_descrip","transmode_1_descrip","transmode_1_contact","transmode_2_code","transmode_3_code","transtype_human","path_acquisition","path_vector","event_date","event_year","event_decade","event_ref","event_type","drivers_ref","drivers","driver_1","driver_1_iom","driver_1_pd","driver_pd_reclass","driver_2","driver_3","path_reservoir","path_georange","path_hosteffect","eid_ref","notes","geo_data_qual_1","geo_data_qual_12","yr1","yr2","filename","wildlife_zoonoses"
"163",163,"HED_163",1,"Pseudomonas","aeruginosa","Unspecified","imipenem-res","Unspecified","Japan","3",1,"ESRICountry00. ""Japan""","Country name ""Japan""","yes",0,0,0,"bacteria","Contact with discharges from the conjunctivae or upper respiratory tracts of infected people; from contaminated fingers, clothing or other articles, including shared eye makeup applicators, multiple dose eye medications and inadequately sterilized instruments such as tonometers.  The organisms may be mechanically transmitted by eye gnats or flies in some areas, but the importance as vectors is undetermined and probably differs from area to area.  Direct contact with contaminated water, aerosols or aspirations, by contact of mucous membranes with discharges from infected conjunctivae or upper respiratory tract of infected persons through contaminated objects (improperly sterilized medical equipment, contaminated IV fluids) or fingers","contact with discharges from the conjunctivae or upper respiratory tracts of infected people","direct contact","fomites","mechanical vectors","","","None","1988",1988,"1980","Watanabe M, Iyobe S, Inoue M, Mitsuhashi S. Transferable imipenem resistance in Pseudomonas aeruginosa. Antimicrob Agents Chemother 1991;35:147–51. Infect Control Hosp Epidemiol 1992;13:10–4. Eur J Clin Microbiol Infect Dis 1994;13:203–4.","","Watanabe M, Iyobe S, Inoue M, Mitsuhashi S. Transferable imipenem resistance in Pseudomonas aeruginosa. Antimicrob Agents Chemother 1991;35:147–51.","expression of a plasmid-mediated metallo-b-lactamase capable of hydrolyzing carbapenems very efficiently. This latter mechanism of resistance is rare and has been described only in Japan to date. Nevertheless, it has the potential for rapid spread","antibiotic resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.; Ong CT, Kuti JL, Nightingale CH, Nicolau DP. Emerging Pseudomonas aeruginosa resistance: implications in clinical practice. Conn Med. 2004 Jan;68(1):11-5.  CDC. SEMIANNUAL REPORT Aggregated Data from the National Nosocomial Infections Surveillance (NNIS) System December 1999","",0,1,1,1,"HED_163.shp",FALSE
"164",164,"HED_164",1,"Rhodococcus","equi","Unspecified","Unspecified","Unspecified","Minneapolis, MN, USA","1",1,"GGv2. ""Minneapolis, US, Minnesota""","GGv2. ""Minneapolis, US, Minnesota""","yes",1,1,3,"bacteria","Exposure to soil contaminated with manure is the most likely route of both animal and human infection. Exposure most often is by inhalation, but infections by oral route (due to ingestion of soil or food) or by direct inoculation due to trauma also are well described. A history of animal exposure may be absent.","inhalation in soil","direct contact","ingestion of contaminated foods","direct inocultion by trauma","","","None","Jan-66",1966,"1960","Golub B, Falk G, Spink WW. Lung abscess due to Corynebacterium equi: report of first human infection. Ann Intern Med 1967; 66:1174–7.","","Unspecified","AIDS, organ transplant, and cancer treatment","AIDS","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","cancer and organ transplant","None","affecting grazing animals, mainly horses and foals","Unspecified","Unspecified","Unspecified","",1,1,1,0,"HED_164.shp",TRUE
"165",165,"HED_165",1,"Rickettsia","africae","Unspecified","Unspecified","Unspecified","Harare, Zimbabwe","1",1,"GGv2. ""Harare, Zimbabwe""","GGv2. ""Harare, Zimbabwe""","yes",1,1,3,"rickettsia","tick-bite","arthropod-borne","vector","None","None","","","tick","Aug-92",1992,"1990","Lancet 340:982-983. 1992. Kelly, P. J., L. Beati, P. R. Mason, L. A. Matthewman, V. Roux, and D. Raoult. 1996. Rickettsia africae sp nov, the etiological agent of African tick bite fever. Int. J. Syst. Bacteriol. 46:611–614.","","EI3 p 22","tourism and travel to Sub-Saharan Africa increasing","travel","international travel and commerce","international travel and commerce","international travel and commerce","None","None","occurs in cattle and wild animals","Unspecified","Unspecified","Unspecified","",1,1,1,1,"HED_165.shp",TRUE
"166",166,"HED_166",0,"Rickettsia","africae","Unspecified","Unspecified","Unspecified","Guadeloupe","3",1,"ESRICountry00. ""Guadeloupe""","Country name ""Guadeloupe""","yes",1,1,3,"rickettsia","tick-bite","arthropod-borne","vector","None","None","","","tick","Jul-97",1997,"1990","Parola P NEJM. 338:1391. 1998.","","Parola P, Jourdan J, Raoult D. Tick-borne infection caused by Rickettsia africae in the West Indies. N Engl J Med. 1998 May 7;338(19):1391. EI3 p 22","A. variegata were introduced into Guadeloupe during the 18th or 19th century with cattle shipped from Africa, where they are known to transmit R. africae and Cowdria ruminantium, the agent of heartwater in cattle.2,3 In the past 30 years, these ticks have propogated in the West Indies, owing to livestock movement or bird migration","livestock movement","international travel and commerce","international travel and commerce","international travel and commerce","bird migration","travel","occurs in cattle and wild animals","Unspecified","Unspecified","Unspecified","",0,0,1,1,"HED_166.shp",TRUE
"167",167,"HED_167",1,"Rickettsia","akari","Unspecified","Unspecified","Rickettsialpox","Queens","3",1,"ESRICounties. ""Queens, NYC, US""","ESRICounties. ""Queens, NYC, US""","yes",1,1,2,"rickettsia","Transmitted to man from mice by bite of infected mite; commensal rats are reported to be sources of infection in USSR; changes in management of garbage in tenement housing","arthropod-borne","vector","None","None","","","mite","Jan-46",1946,"1940","Greenberg, M, Pellitteri, OJ, Jellison, WL. Rickettsialpox—a newly recognized rickettsial disease. Am J Public Health 1947; 37:860–868.","","Comer 2001","proximity to shooting galleries","injection drug use","human demographics and behavior","human demographics and behavior","human demographics and behavior","None","None","house mice and rats","Unspecified","Unspecified","Weinstock CID 2002","",1,1,1,0,"HED_167.shp",TRUE
"168",168,"HED_168",0,"Rickettsia","akari","Unspecified","Unspecified","Rickettsialpox","Medical Center of Zadar, Zadar, Croatia","1",1,"GGv2. ""Zadar, Croatia""","GGv2. ""Zadar, Croatia""","yes",1,1,2,"rickettsia","Transmitted to man from mice by bite of infected mite; commensal rats are reported to be sources of infection in USSR; changes in management of garbage in tenement housing","arthropod-borne","vector","None","None","","","mite","May-91",1991,"1990","Radulovic, S, Feng, H, Morovic, M, Djelalija, B, et al. Isolation of Rickettsia akari from a patient in a region where Mediterranean spotted fever is endemic. Clin Infect Dis 1996; 22:216–220.","","Comer 2001","proximity to shooting galleries","injection drug use","human demographics and behavior","human demographics and behavior","human demographics and behavior","None","None","House mouse (M. musculus)","Unspecified","Unspecified","Comer 2001","",0,0,1,1,"HED_168.shp",TRUE
"169",169,"HED_169",1,"Rickettsia","felis","Unspecified","Unspecified","California flea typhus","Corpus Christi and Nueces County regions of south Texas","1,3",2,"ESRICounties. ""Nueces County, Texas, USA""","GGv2. ""Corpus christi, Texas""","yes",1,1,3,"rickettsia","flea-bite/defecation; occasional inhalation of dried infective flea feces","arthropod-borne","vector","inhalation of dried feces","None","","","flea","spring 1991",1991,"1990","Identification of a novel rickettsial infection in a patient diagnosed with murine typhus. ME Schriefer, JB Sacci Jr, JS Dumler, MG Bullen, and AF Azad   J. Clin. Microbiol. 1994. 32:949-954. Raoult, D, La Scolla, B, Enea, M, Fournier, PE, et al. A flea-associated Rickettsia pathogenic for humans. Emerg Infect Dis 2001; 7: 73–81. Richter J, Fournier PE, Petridou J, Haussinger D, Raoult D. Rickettsia felis infection acquired in Europe and documented by polymerase chain reaction.  EID. 2002; 8:207-8.  Rolain JM, Franc M, Davoust B, Raoult D. Molecular detection of pathogenic Bartonella and Rickettsia in cat fleas from France. EID. 2003; 9:338-42. Zavala-Velazquez Lancet. 2000. Sept. 23; 356 (9235): 1079-80.","","EI3 p. 30","increased recognition","increased recognition","technology and industry","medical industry changes","medical industry changes","None","None","House mouse (M. musculus) and opossums and pets","Unspecified","Unspecified","Comer 2001","reemergence",1,1,1,1,"HED_169.shp",TRUE
"170",170,"HED_170",0,"Rickettsia","felis","Unspecified","Unspecified","California flea typhus","rural eastern Yucatan, Mexico","3",1,"ESRIAdmin00. ""Yucatan, Mexico""","ESRIAdmin00. ""Yucatan, Mexico""","yes",1,1,3,"rickettsia","flea-bite/defecation; occasional inhalation of dried infective flea feces","arthropod-borne","vector","inhalation of dried feces","None","","","flea","2000",2000,"2000","Zavala-Velazquez  Lancet. 2000 Sep 23;356(9235):1079-80. Raoult, D, La Scolla, B, Enea, M, Fournier, PE, et al. A flea-associated Rickettsia pathogenic for humans. Emerg Infect Dis 2001; 7: 73–81. Richter J, Fournier PE, Petridou J, Haussinger D, Raoult D. Rickettsia felis infection acquired in Europe and documented  by polymerase chain reaction.  EID. 2002; 8:207-8.  Rolain JM, Franc M, Davoust B, Raoult D. Molecular detection of pathogenic Bartonella and Rickettsia in cat fleas from France. EID. 2003; 9:338-42. Zavala-Velazquez Lancet. 2000. Sept. 23; 356 (9235): 1079-80.","","EI3 p. 30","increased recognition","increased recognition","technology and industry","medical industry changes","medical industry changes","None","None","House mouse (M. musculus) and opossums and pets","Unspecified","Unspecified","Comer 2001","reemergence",0,0,1,1,"HED_170.shp",TRUE
"171",171,"HED_171",1,"Rickettsia","helvetica","Unspecified","Unspecified","Unspecified","Uppsala, Sweden","1",1,"GGv2. ""Uppsala, Sweden, Stockholms Lan""","GGv2. ""Uppsala, Sweden, Stockholms Lan""","yes",1,1,3,"rickettsia","tick-bite","arthropod-borne","vector","None","None","","","tick","Oct. 1997",1997,"1990","Fournier PE, Grunnenberger F, Jaulhac B, Gastinger G, Raoult D. Evidence of Rickettsia helvetica infection in humans, eastern France. Emerg Infect Dis 2000;6:389–92. Fournier PE, Fujita H, Takada N, Raoult D. Genetic identification of rickettsiae isolated from ticks in Japan. J Clin Microbiol 2002;40:2176–81. Nilsson Lancet 1999.","","Fournier EID 2000.","This rickettsia is poorly studied and has been considered non-pathogenic, Rickettsia isolated from man is considered pathogenic while Rickettsia only isolated from ticks is considered as organisms of ”unknown pathogenicity”. High prevalence in forest workers; cases in forest hikers","forest work or travel","international travel and commerce","deforestation","land use change","None","None","R. norvegicus, domestic cat, opossum","Unspecified","Unspecified","Unspecified","",1,1,1,1,"HED_171.shp",TRUE
"172",172,"HED_172",1,"Rickettsia","honei","Unspecified","TT-118","Thai tick typhus","Chiang Mai, University Hospital, Chiang Mai, Thailand","1",1,"GGv2. ""Chiang Mai, Thailand""","GGv2. ""Chiang Mai, Thailand""","yes",1,1,2,"rickettsia","tick-bite","arthropod-borne","vector","None","None","","","tick","29-Aug-90",1990,"1990","Robertson RG, Wisseman CL Jr. Tick-borne rickettsiae of the spotted fever group in west Pakistan. II. Serological classification of isolates from west Pakistan and Thailand: evidence for two new species. Am J Epidemiol 1973;97:55–64.  Stenos J, Roux V, Walker D, Raoult D. Rickettsia honei sp. nov., the aetiological agent of Flinders Island spotted fever in Australia. Int J Syst Bacteriol 1998;48:1399–404. Sirisanthana, T., et al. 1994. First cases of Spotted Fever Group rickettsiosis in Thailand. Am. J. Trop. Med. Hyg. 50(6): 682-686","","Stenos J, Roux V, Walker D, Raoult D. Rickettsia honei sp. nov., the aetiological agent of Flinders Island spotted fever in Australia. Int J Syst Bacteriol 1998;48:1399–404.","may have been introduced to one site or the other by migratory birds. For example, the Curlew sandpiper (Calidris ferruginea), Sanderling (Calidris alba) and black-bellied plover (Pluvialis squatarola) migrate south from the Arctic tundras through Asia to coastal regions of Australia.  The arthropod that harbors R. honei has been suspected based on temporal association of bite with onset of illness in a patient.  TT-118 was isolated from a mixed pool thought to represent larval Ixodes sp. And Rhipicephalus sp.  This situation would suggest that the rickettsial species may have been introduced by a rickettsemic bird or tick carried upon a bird.","migrating birds","international travel and commerce","newly discovered","other","None","None","rats","Unspecified","Unspecified","Parola 2003","",1,1,1,1,"HED_172.shp",TRUE
